"Texas Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fossil fuel combustion: carbon dioxide,132.8453395,126.1552917,130.65536,130.7749514,137.7447563,134.4825305,147.4163551,147.7484666,153.8210004,158.6727099,164.7763331,169.1827192,176.9038902,173.0872202,171.7126064,172.820364,179.0357568,182.5780678,177.7935193,166.2066471,161.7839654,164.2109049,169.5977863,182.4022417,183.3750678,184.9700258,191.2755436,195.3197857,203.4529574,207.3000095,179.8182694
Use of fluorinated gases,0,0,0.101252781,0.443948483,1.086869474,1.727666032,2.513663546,3.336230316,3.927911812,4.534481446,5.10918122,5.682760349,5.94979966,6.140246536,6.352915651,6.484838632,6.675151028,6.788403052,6.89001286,8.294193131,7.459836011,8.036891412,5.940122195,5.593782812,5.851211019,5.598295821,5.258897343,4.895109888,4.707792113,4.513393184,4.319930254
Fossil fuel combustion: other greenhouse gases,3.617258356999997,3.729062540000001,3.950554463000003,4.081504900000027,4.316625482000006,4.3697331010000084,4.492583018000005,4.7691812360000085,4.867099080999992,4.586194408000011,4.533168773999989,4.233550460999993,4.0305119759999855,3.822015358000016,3.5887637969999844,3.200145744999986,3.1922201939999866,2.86142822299999,2.59496017699999,2.412608241999976,2.299004236000002,2.235697068999997,1.9686900980000246,1.8548944179999864,1.7089494260000038,1.6967287109999916,1.650720027999995,1.5229439269999716,1.4561555589999955,1.527708013999984,1.2953330869999888
Other transportation categories,0.79756348,0.713549245,0.727473142,0.740724386,0.774222456,0.760903946,0.738504634,0.780141793,0.816666797,0.825209478,0.812832681,0.744760298,0.735948557,0.680387501,0.689266508,0.685701452,0.668010704,0.689871895,0.640431972,0.575790115,1.088081881,1.075974144,0.994448722,1.088418207,1.228867945,1.319675965,1.259944467,1.164966005,1.151109373,1.13489846,0.965121094
Total,137.260161337,130.597903485,135.434640386,136.04112916900004,143.922473712,141.34083357900002,155.16110629800002,156.63401994500003,163.43267809,168.61859523200002,175.231515775,179.843790308,187.620150393,183.72986959500003,182.34355235599998,183.19104982899998,189.571138726,192.91777097000002,187.918924309,177.48923858799995,172.630887528,175.559467525,178.501047315,190.93933713699997,192.16409619,193.58472629699997,199.44510543799998,202.90280552,210.768014445,214.47600915799995,186.398653835
