"U.S. Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fossil fuel combustion: carbon dioxide,1468.943894,1422.327405,1477.643426,1508.607034,1553.947354,1580.677858,1627.363105,1643.515554,1678.920338,1746.344324,1792.201892,1762.464068,1803.018344,1811.984287,1845.220711,1858.552169,1859.133006,1860.737498,1759.681324,1688.480574,1696.795462,1670.546303,1659.564856,1669.110613,1707.317307,1718.207954,1757.638404,1779.977191,1812.760635,1813.754773,1572.034241
Use of fluorinated gases,0,0,1.1689821,5.09734604,12.40641769,19.61348893,28.3738331,37.42652107,43.76291413,50.19508383,56.18097529,62.01172568,64.48480932,66.19873845,68.16503857,69.26851076,70.31625647,71.18205397,71.86291331,71.06497478,68.06205194,62.43382391,57.12468193,51.58341155,48.7538765,46.33649281,43.2987415,40.13971493,38.46074363,36.74269099,35.03495381
Fossil fuel combustion: other greenhouse gases,45.65171996,47.38559531,50.27142674,52.18827741,53.99709826,55.43373207,56.55089273,57.32782025,57.49073039,54.50388878,53.10282279,49.90479695,47.55437289,45.04492946,42.23515338,37.49675306,36.50027101,32.26727649,29.85522239,28.20244656,27.0080004,25.63496092,23.11444725,21.17829971,19.28976642,17.90340692,16.72596734,15.4951887,14.2905255,14.95980211,12.52717739
Other transportation categories,11.83867526,10.59090579,10.79788081,10.99503512,11.49199042,11.29470158,10.96133525,11.57943518,12.12199628,12.24879118,12.06508992,11.05429576,10.92333041,10.09879359,10.2311715,10.17769567,9.915832241,10.23984871,9.506590763,8.54705268,10.41083685,9.980272303,9.108246246,9.643206384,10.04612493,10.95151453,10.38245094,9.550514938,9.214390732,8.833871494,8.022182322
Total,1526.43428922,1480.3039061000002,1539.88171565,1576.8876925700001,1631.84286037,1667.0197805799999,1723.24916608,1749.8493305000002,1792.2959787999998,1863.2920877899996,1913.55078,1885.43488639,1925.9808566200002,1933.3267485000001,1965.85207445,1975.49512849,1975.8653657210002,1974.42667717,1870.9060504630002,1796.29504802,1802.2763511899998,1768.595360133,1748.9122314259998,1751.515530644,1785.4070748499998,1793.3993682599998,1828.0455637799998,1845.162609568,1874.7262948620003,1874.291137594,1627.6185545219998
